"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Legal Name","Record Type"
"Sharrah Services","","Debra R","Sharrah","168 Fishermans Cv # D","Adak","AK","99546","C+","Female","Owner","","43-089-5298","1 to 4","Less Than $500,000","Not Available","738999","Business Services NEC","738999","Business Services NEC","","Unverified"
"Soa's Cab","","Krystle D","Penitani","PO Box 1847","Adak","AK","99546","C+","Female","Owner","","43-021-8316","1 to 4","Less Than $500,000","Not Available","412101","Taxicabs & Transportation Service","412101","Taxicabs & Transportation Service","","Unverified"
"South Coast Mobile Vet Svc","","Elliot","Schwarz","112a Sandy Cv","Adak","AK","99546","A","Male","Owner","","43-480-2414","1 to 4","","Not Available","074201","Veterinarians","074201","Veterinarians","","Unverified"
"South Davis Landfill Repairs","","","","South Davis Rd","Adak","AK","99546","C","","","","80-087-4146","1 to 4","Less Than $500,000","Not Available","769999","Repair Shops & Related Services NEC","769999","Repair Shops & Related Services NEC","","Unverified"
"St Innocent Church","","","","PO Box 2101","Adak","AK","99546","I","","","","72-311-9143","1 to 4","","Not Available","866107","Churches","866107","Churches","","Unverified"
"Stark Seafoods","","Steve","Stark","119 Sandy Cv # A","Adak","AK","99546","C+","Male","Owner","","43-248-0808","1 to 4","$500,000-1 Million","Not Available","542101","Seafood-Retail","542101","Seafood-Retail","","Unverified"
"T D X","","","","","Adak","AK","99546","U","","","","70-589-8106","","","(907) 592-2498","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"TDX Adak Generating LLC","","","","","Adak","AK","99546","U","","","","71-891-9917","","","(907) 592-2496","999977","Nonclassified Establishments","999977","Nonclassified Establishments","TDX ADAK GENERATING LLC","Unverified"
"TDX Adak Generating LLC","TANADGUSIX CORP","","","1082 Hillside Blvd","Adak","AK","99546","B+","","","","43-999-5517","1 to 4","$1-2.5 Million","(907) 592-2490","491104","Power Plants","491104","Power Plants","TDX ADAK GENERATING LLC","Unverified"
"TDX Power","TANADGUSIX CORP","","","1082 Hillside Blvd","Adak","AK","99546","B","","","","40-065-2429","1 to 4","$1-2.5 Million","(907) 592-2490","491101","Electric Companies","491101","Electric Companies","","Unverified"
"Terri L Douglas","","Terri","Douglas","173 B Threearm Bay","Adak","AK","99546","U","Female","Manager","","78-792-2455","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Tetra Tech Ec Inc","","","","","Adak","AK","99546","U","","","","70-869-0008","","","(907) 592-2367","999977","Nonclassified Establishments","999977","Nonclassified Establishments","TETRA TECH EC INC","Unverified"
"Three Kisses Trading Co","","Lacy","Plummer","247a Amchitka Cir","Adak","AK","99546","C","Female","Owner","","72-060-3769","1 to 4","","(907) 717-6982","539901","General Merchandise-Retail","539901","General Merchandise-Retail","","Unverified"
"Tundra Tavern LLC","","","","","Adak","AK","99546","C+","","","","78-089-1562","1 to 4","Less Than $500,000","(907) 592-2551","581301","Bars","581301","Bars","TUNDRA TAVERN LLC","Unverified"
"Tundra Tavern LLC","","","","42446 Kagalaska Dr","Adak","AK","99546","B","","","","77-930-8768","1 to 4","Less Than $500,000","Not Available","581301","Bars","581301","Bars","TUNDRA TAVERN LLC","Unverified"
"Tutiakoff Vincent Sr","","","","","Adak","AK","99546","U","","","","70-073-1260","","","(907) 592-3522","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Ugbg Unit 182b","","","","","Adak","AK","99546","U","","","","72-483-1637","","","(907) 592-0138","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Under Ground Bar & Grill","","","","","Adak","AK","99546","C+","","","","72-175-6581","1 to 4","Less Than $500,000","(907) 592-2551","581208","Restaurants","581208","Restaurants","","Unverified"
"Underground Bar & Grill","","","","42446 Kagalaska Dr","Adak","AK","99546","C+","","","","71-943-8684","1 to 4","Less Than $500,000","Not Available","581208","Restaurants","581208","Restaurants","","Unverified"
"United States Post Office CPU","UNITED STATES POSTAL SVC","","","100 Mechanical St # A136","Adak","AK","99546","I","","","","40-260-1577","1 to 4","","(907) 592-8111","431101","Post Offices","431101","Post Offices","","Verified"
"US Army Usace Cape Yakak Fuds","","","","51 35 31.38 N 176 56 30 W","Adak","AK","99546","U","","","","80-087-4147","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Us Army Usace Davis AFB Fuds","","","","51 47 38.2 N 176 49 26.3 W","Adak","AK","99546","U","","","","80-087-4150","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"USA Environmental","","","","","Adak","AK","99546","C+","","","","42-631-5176","1 to 4","","(907) 592-0695","873111","Environmental & Ecological Services","873111","Environmental & Ecological Services","","Unverified"
"USA Environmental","","Jeff","Viebrock","143 Sandy Cv # A","Adak","AK","99546","C+","Male","Manager","","70-526-9350","1 to 4","","(907) 592-0696","873111","Environmental & Ecological Services","873111","Environmental & Ecological Services","","Unverified"
"Usaf Eareckson Afs","","","","Shemya Isl S Shr","Adak","AK","99546","U","","","","80-087-4148","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Usdoi Fws Ak Maritime Nwr","","","","51 32 00 N 179 00 00 E","Adak","AK","99546","U","","","","80-087-4152","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Usdoi Fws Ak Maritime Nwr","","","","65 MI W Of Adak Naval Facility","Adak","AK","99546","U","","","","80-087-4151","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Usdoi Fws Ak Maritime Nwr","","","","Yakak Peninsula SW Adak Is","Adak","AK","99546","U","","","","80-087-4145","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Wimpfheimer Orit Schwatz MD","","Orit S","Wimpfheimer","16 Asher St","Adak","AK","99546","B+","Female","","","78-452-2032","1 to 4","Less Than $500,000","(866) 260-8820","801101","Physicians & Surgeons","801101","Physicians & Surgeons","","Verified"
"Windy City Cellular","","","","","Adak","AK","99546","C+","","","","71-664-1725","1 to 4","$1-2.5 Million","(907) 592-0644","481207","Cellular Telephones (Services)","481207","Cellular Telephones (Services)","","Unverified"
"Windy Lanes","","","","","Adak","AK","99546","C","","","","71-664-1683","1 to 4","Less Than $500,000","(907) 592-0784","793301","Bowling Centers","793301","Bowling Centers","","Unverified"
"Wingfeather Rentals","","Keith A","Hamilton","121 Sandy Cv # D","Adak","AK","99546","U","Male","Owner","","43-231-0364","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Zeto Point LLC","","Steven","Minor","100 Mechanical St","Adak","AK","99546","U","Male","Other","","79-682-8042","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ZETO POINT LLC","Unverified"
